#{"t_start": 1646238557.6843512, "env_id": null}
r,l,t
-599,200,0.054544
-187,187,0.08094
-599,200,0.104973
-600,201,0.129397
-599,200,0.153857
-599,200,0.200559
-599,200,0.225182
-171,171,0.246972
-152,152,0.266301
-599,200,0.290936
-599,200,0.325446
-599,200,0.35037
-600,201,0.375641
-96,96,0.388584
-599,200,0.413653
-599,200,0.442092
-599,200,0.466802
-600,201,0.491518
-599,200,0.516382
-599,200,0.541045
-599,200,0.571076
-193,193,0.595639
-599,200,0.620123
-133,133,0.637454
-599,200,0.662215
-192,192,0.686726
-189,189,0.714969
-599,200,0.739656
-130,130,0.756585
-145,145,0.775268
-599,200,0.800094
-599,200,0.825708
-599,200,0.859143
-599,200,0.883942
-599,200,0.90922
-599,200,0.933772
-599,200,0.958898
-600,201,0.988463
-599,200,1.013654
-599,200,1.03762
-149,149,1.057156
-131,131,1.074128
-599,200,1.102631
-599,200,1.127664
-599,200,1.152633
-183,183,1.175579
-190,190,1.199412
-155,155,1.219661
-189,189,1.247627
-599,200,1.272464
-599,200,1.297228
-168,168,1.318895
-67,67,1.328172
-599,200,1.362865
-599,200,1.387779
-599,200,1.412756
-599,200,1.437293
-130,130,1.454217
-157,158,1.474262
-599,200,1.507874
-599,200,1.532646
-599,200,1.559067
-599,200,1.585874
-180,180,1.608868
-124,124,1.629125
-184,184,1.652448
-600,201,1.676933
-598,200,1.701411
-599,200,1.726241
-154,155,1.745995
-135,135,1.773201
-123,123,1.791045
-599,200,1.817548
-599,200,1.844002
-598,200,1.868583
-160,160,1.888803
-599,200,1.92266
-599,200,1.947764
-599,200,1.972402
-165,165,1.993461
-168,168,2.015148
-152,152,2.045226
-599,200,2.072121
-599,200,2.097549
-599,200,2.122126
-130,130,2.138856
-599,200,2.163338
-54,54,2.175214
-599,200,2.199596
-167,167,2.220482
-599,200,2.245399
-184,184,2.269775
-145,145,2.289631
-599,200,2.324832
-599,200,2.349375
-599,200,2.374214
-121,121,2.390215
-599,200,2.414384
-599,200,2.4428
-155,155,2.462443
-599,200,2.486842
-599,200,2.51326
-599,200,2.539149
-599,200,2.569079
-599,200,2.594641
-599,200,2.618991
-599,200,2.642791
-599,200,2.667441
-599,200,2.696758
-163,163,2.717286
-599,200,2.742394
-599,200,2.76867
-599,200,2.794602
-146,146,2.814013
-599,200,2.843978
-599,200,2.869616
-600,201,2.893887
-149,149,2.912765
-600,201,2.938185
-183,183,2.965415
-599,200,2.990391
-599,200,3.015368
-178,178,3.037938
-599,200,3.062609
-599,200,3.091361
-172,172,3.11309
-85,85,3.124708
-149,149,3.143701
-163,163,3.164442
-127,127,3.180831
-599,200,3.20644
-599,200,3.236987
-599,200,3.263122
-189,189,3.288024
-77,78,3.299188
-599,200,3.324902
-162,162,3.346289
-599,200,3.3809
-599,200,3.406637
-145,145,3.426163
-599,200,3.45253
-599,200,3.478633
-599,200,3.508799
-599,200,3.534141
-599,200,3.559302
-599,200,3.585062
-599,200,3.610512
-174,174,3.637943
-161,161,3.659126
