#{"t_start": 1648051044.8506536, "env_id": null}
r,l,t
-89,89,1.406589
-36,36,1.409118
-122,122,1.417204
-599,200,1.43064
-114,114,1.438813
-47,47,1.442187
-34,34,1.444719
-80,80,1.450195
-9,9,1.451082
-26,26,1.453027
-147,147,1.463448
-71,71,1.468777
-133,133,1.612341
-105,105,1.630063
-44,44,1.63765
-14,14,1.640722
-52,52,1.649114
-66,66,1.660083
-22,22,1.664053
-24,24,1.668207
-3,3,1.669636
-29,29,1.674779
-20,20,1.678292
-11,11,1.680525
-20,20,1.684134
-45,45,1.692323
-33,33,1.697814
-78,78,1.708022
-40,40,1.712357
-15,15,1.7141
-111,111,1.724266
-13,13,1.725695
-2,2,1.726149
-25,25,1.728338
-599,200,1.749863
-61,61,1.753643
-22,22,1.75503
-38,38,1.757243
-59,59,1.760314
-16,16,1.761381
-599,200,1.77131
-6,6,1.771809
-96,96,1.776683
-26,26,1.778134
-59,59,1.781114
-20,20,1.782286
-117,117,1.788249
-26,26,1.789684
-105,105,1.794916
-68,68,1.798486
-31,31,1.802291
-25,25,1.803746
-15,15,1.804649
-44,44,1.807082
-58,58,1.810024
-9,9,1.810658
-16,16,1.811582
-73,73,1.815183
-79,79,1.819376
-30,30,1.821064
-33,33,1.823021
-6,6,1.823482
-126,126,1.829816
-126,126,1.836043
-34,34,1.837981
-3,3,1.8383
-19,19,1.839401
-39,39,1.841464
-16,16,1.84244
-11,11,1.843143
-122,122,1.84937
-15,15,1.850248
-27,27,1.851785
-175,175,1.862377
-64,64,1.86564
-11,11,1.866382
-6,6,1.866876
-46,46,1.86924
-92,92,1.873809
-39,39,1.875893
-121,121,1.8819
-6,6,1.882404
-2,2,1.882668
-26,26,1.884115
-166,166,1.892059
-57,57,1.895001
-124,124,1.901066
-83,83,1.905192
-79,79,1.911036
-599,200,1.92055
-599,200,1.930144
-47,47,1.932608
-30,30,1.934247
-46,46,1.936636
-30,30,1.938294
-111,111,1.943811
-23,23,1.945097
-84,84,1.949303
-80,80,1.953312
-5,5,1.953719
-38,38,1.955855
-12,12,1.956622
-106,106,1.963897
-34,34,1.965714
-78,78,1.969588
-4,4,1.96998
-139,139,1.97666
-108,108,1.982012
-51,51,1.984664
-4,4,1.985074
-80,80,1.989197
-11,11,1.989908
-25,25,1.991299
-7,7,1.991823
-58,58,1.994775
-105,105,1.999861
-44,44,2.002185
-3,3,2.002499
-153,153,2.009869
-599,200,2.021462
-23,23,2.02293
-104,104,2.027959
-21,21,2.029146
-9,9,2.029777
-33,33,2.031503
-129,129,2.037708
-84,84,2.041942
-82,82,2.046013
-36,36,2.047876
-15,15,2.048786
-52,52,2.051561
-21,21,2.05274
-14,14,2.05362
-23,23,2.054912
-51,51,2.057526
-92,92,2.06207
-69,69,2.067443
-45,45,2.069772
-40,40,2.071912
-152,152,2.079268
-55,55,2.082202
-27,27,2.083679
-22,22,2.084922
-6,6,2.085435
-10,10,2.086102
-60,60,2.089134
-63,63,2.092354
-65,65,2.095635
-599,200,2.105114
-18,18,2.106171
-9,9,2.106934
-13,13,2.107777
-6,6,2.10821
-7,7,2.108732
-16,16,2.109698
-59,59,2.112711
-18,18,2.11377
-26,26,2.115182
-13,13,2.115983
-9,9,2.116607
-54,54,2.121368
-5,5,2.121841
-106,106,2.12706
-13,13,2.127865
-10,10,2.128528
-50,50,2.131071
-71,71,2.134652
-35,35,2.136519
-23,23,2.137833
-16,16,2.138772
-72,72,2.142538
-37,37,2.144484
-10,10,2.145138
-44,44,2.147433
-101,101,2.152357
-4,4,2.1527
-5,5,2.153127
-22,22,2.154398
-129,129,2.160745
-3,3,2.161055
-24,24,2.162516
-56,56,2.165437
-2,2,2.165702
-155,155,2.176202
-105,105,2.181351
-29,29,2.182927
-11,11,2.183636
-73,73,2.187331
-9,9,2.187927
-13,13,2.188762
-21,21,2.190086
-57,57,2.192957
-24,24,2.19428
-18,18,2.195377
-20,20,2.196506
-58,58,2.199431
-23,23,2.200732
-40,40,2.202783
-599,200,2.212285
-11,11,2.213015
